estado	armas	homicidios	TAXA_CRIMES_VIOLENTOS
Acre	11738	312	35.89 
Alagoas	12731	1093	32.89 
Amapá	4785	264	31.83 
Amazonas	9776	1063	26.05 
Bahia	33314	5100	34.43 
Ceará	17560	2235	24.63 
Distrito_Federal	227940	436	14.66 
Espírito_Santo	21268	1014	25.53 
Goiás	45289	1755	25.36 
Maranhão	13779	1486	21.12 
Mato_Grosso	27201	871	25.31 
Mato_Grosso_do_Sul	16217	466	16.96 
Minas_Gerais	81076	2836	13.48 
Pará	19817	2864	33.64 
Paraíba	14511	942	23.57 
Paraná	62878	1901	16.75 
Pernambuco	23692	3466	36.50 
Piauí	10134	572	17.52 
Rio_de_Janeiro	39881	4154	24.21 
Rio_Grande_do_Norte	13798	1281	36.82 
Rio_Grande_do_Sul	96269	1894	16.72 
Rondônia	16054	416	23.67 
Roraima	3474	200	34.69 
Santa_Catarina	63319	736	10.40 
São_Paulo	154378	3209	7.05 
Sergipe	7323	797	34.98 
Tocantins	8468	367	23.60 
